variable	selected.by.training	model.type	evaluated.on	perf.final	perf.auc	perf.accu
800	TRUE	GI	test.seen	0.703093	0.889205	0.790698
800	TRUE	GI	test.unseen	0.552794	0.768519	0.719298
800	TRUE	GI	train	0.643568	0.846800	0.760000
800	FALSE	meta	test	0.610432	0.803200	0.760000
800	FALSE	meta	test.seen	0.698600	0.883523	0.790698
800	FALSE	meta	test.unseen	0.565752	0.767806	0.736842
800	FALSE	meta	train	0.713728	0.870400	0.820000
800	FALSE	univ	test	0.503880	0.741000	0.680000
800	FALSE	univ	test.seen	0.671908	0.802557	0.837209
800	FALSE	univ	test.unseen	0.387065	0.689459	0.561404
800	FALSE	univ	train	0.532980	0.761400	0.700000
80	FALSE	basic	test	0.328900	0.598000	0.550000
80	FALSE	basic	test.seen	0.379889	0.710227	0.534884
80	FALSE	basic	test.unseen	0.374270	0.666667	0.561404
80	FALSE	basic	train	0.485760	0.704000	0.690000
80	FALSE	GI	test	0.381672	0.669600	0.570000
80	FALSE	GI	test.seen	0.443479	0.762784	0.581395
80	FALSE	GI	test.unseen	0.371870	0.662393	0.561404
80	FALSE	GI	train	0.289274	0.545800	0.530000
80	FALSE	meta	test	NA	NA	NA
80	FALSE	meta	test.seen	NA	NA	NA
80	FALSE	meta	test.unseen	NA	NA	NA
80	FALSE	meta	train	NA	NA	NA
80	TRUE	univ	test	0.223438	0.475400	0.470000
80	TRUE	univ	test.seen	0.224068	0.458807	0.488372
80	TRUE	univ	test.unseen	0.185185	0.405983	0.456140
80	TRUE	univ	train	0.403920	0.673200	0.600000
900	FALSE	basic	test	0.560400	0.747200	0.750000
900	FALSE	basic	test.seen	0.653674	0.826705	0.790698
900	FALSE	basic	test.unseen	0.519493	0.722222	0.719298
900	FALSE	basic	train	0.562464	0.781200	0.720000
900	FALSE	GI	test	0.551386	0.776600	0.710000
900	FALSE	GI	test.seen	0.658562	0.884943	0.744186
900	FALSE	GI	test.unseen	0.517544	0.756410	0.684211
900	FALSE	GI	train	0.647064	0.851400	0.760000
900	FALSE	meta	test	0.504768	0.764800	0.660000
900	FALSE	meta	test.seen	0.588662	0.843750	0.697674
900	FALSE	meta	test.unseen	0.468286	0.741453	0.631579
900	FALSE	meta	train	0.654208	0.860800	0.760000
900	TRUE	univ	test	0.385764	0.622200	0.620000
900	TRUE	univ	test.seen	0.427722	0.707386	0.604651
900	TRUE	univ	test.unseen	0.399910	0.633191	0.631579
900	TRUE	univ	train	0.477360	0.734400	0.650000
