variable	selected.by.training	model.type	evaluated.on	perf.final	perf.auc	perf.accu
600	FALSE	univ	test.seen	NA	NA	NA
600	FALSE	univ	test.unseen	NA	NA	NA
600	FALSE	univ	train	NA	NA	NA
700	FALSE	basic	test	0.365256	0.640800	0.570000
700	FALSE	basic	test.seen	0.557693	0.776786	0.717949
700	FALSE	basic	test.unseen	0.270873	0.569767	0.475410
700	FALSE	basic	train	0.428388	0.673869	0.635714
700	TRUE	GI	test	0.363546	0.637800	0.570000
700	TRUE	GI	test.seen	0.537775	0.776786	0.692308
700	TRUE	GI	test.unseen	0.250985	0.510336	0.491803
700	TRUE	GI	train	0.434268	0.684657	0.634286
700	FALSE	meta	test	0.395772	0.670800	0.590000
700	FALSE	meta	test.seen	0.525413	0.758929	0.692308
700	FALSE	meta	test.unseen	0.302283	0.576227	0.524590
700	FALSE	meta	train	0.455537	0.697759	0.652857
700	FALSE	univ	test	0.260160	0.542000	0.480000
700	FALSE	univ	test.seen	0.395834	0.593750	0.666667
700	FALSE	univ	test.unseen	0.147478	0.408915	0.360656
700	FALSE	univ	train	0.388411	0.647351	0.600000
800	FALSE	basic	test	NA	NA	NA
800	FALSE	basic	test.seen	NA	NA	NA
800	FALSE	basic	test.unseen	NA	NA	NA
800	FALSE	basic	train	NA	NA	NA
800	TRUE	GI	test	0.432696	0.655600	0.660000
800	TRUE	GI	test.seen	0.520834	0.714286	0.729167
800	TRUE	GI	test.unseen	0.369508	0.619820	0.596154
800	TRUE	GI	train	0.428930	0.674153	0.636250
800	FALSE	meta	test	0.430336	0.672400	0.640000
800	FALSE	meta	test.seen	0.482052	0.723077	0.666667
800	FALSE	meta	test.unseen	0.396951	0.645045	0.615385
800	FALSE	meta	train	0.445648	0.689591	0.646250
800	FALSE	univ	test	0.357276	0.626800	0.570000
800	FALSE	univ	test.seen	0.376374	0.602198	0.625000
800	FALSE	univ	test.unseen	0.319958	0.616216	0.519231
800	FALSE	univ	train	0.356219	0.615497	0.578750
900	FALSE	basic	test	NA	NA	NA
900	FALSE	basic	test.seen	NA	NA	NA
900	FALSE	basic	test.unseen	NA	NA	NA
900	FALSE	basic	train	NA	NA	NA
900	TRUE	GI	test	0.544548	0.789200	0.690000
900	TRUE	GI	test.seen	0.627902	0.909375	0.690476
900	TRUE	GI	test.unseen	0.568007	0.823611	0.689655
900	TRUE	GI	train	0.416647	0.669612	0.622222
900	FALSE	meta	test	0.522240	0.768000	0.680000
900	FALSE	meta	test.seen	0.713393	0.881250	0.809524
900	FALSE	meta	test.unseen	0.463673	0.790972	0.586207
900	FALSE	meta	train	0.453580	0.706267	0.642222
900	FALSE	univ	test	NA	NA	NA
900	FALSE	univ	test.seen	NA	NA	NA
900	FALSE	univ	test.unseen	NA	NA	NA
900	FALSE	univ	train	NA	NA	NA
